GENE,Alanine and Aspartate Metabolism,Aminosugar Metabolism,Arginine and Proline Metabolism,Bile Acid Biosynthesis,Biotin Metabolism,Cholesterol Metabolism,Citric Acid Cycle,CoA Biosynthesis,CoA Catabolism,Cysteine Metabolism,Fatty Acid Metabolism,Fatty acid activation,Fatty acid elongation,Fatty acid oxidation,Fatty acid oxidation_ peroxisome,Folate Metabolism,Galactose metabolism,Glutamate metabolism,Glutathione Metabolism,Glycine_ Serine_ and Threonine Metabolism,Glycolysis/Gluconeogenesis,Glyoxylate and Dicarboxylate Metabolism,Heme Biosynthesis,Heme Degradation,Histidine Metabolism,IMP Biosynthesis,Inositol Phosphate Metabolism,Lysine Metabolism,Methionine Metabolism,N-Glycan Degradation,NAD Metabolism,Nucleic acid degradation,Nucleotide Sugar Metabolism,Oxidative Phosphorylation,Pentose Phosphate Pathway,Pentose and Glucuronate Interconversions,Phenylalanine metabolism,Purine Catabolism,Pyrimidine Biosynthesis,Pyrimidine Catabolism,Pyruvate Metabolism,Salvage Pathway,Sphingolipid Metabolism,Steroid Metabolism,Tetrahydrobiopterin,Thiamine Metabolism,Triacylglycerol Synthesis,Tryptophan metabolism,Tyr_ Phe_ Trp Biosynthesis,Tyrosine metabolism,Ubiquinone Biosynthesis,Urea cycle/amino group metabolism,Valine_ Leucine_ and Isoleucine Metabolism,M_ala__L_e,M_arg__L_e,M_asn__L_e,M_asp__L_e,M_chol_e,M_cys__L_e,M_fol_e,M_glc__D_e,M_gln__L_e,M_glu__L_e,M_gly_e,M_gthox_e,M_gthrd_e,M_h2o_e,M_h_e,M_his__L_e,M_ile__L_e,M_inost_e,M_leu__L_e,M_lys__L_e,M_met__L_e,M_nh4_e,M_o2_e,M_phe__L_e,M_pi_e,M_ser__L_e,M_succ_e,M_thf_e,M_thr__L_e,M_trp__L_e,M_tyr__L_e,M_urea_e,M_val__L_e,M_ala__L_c,M_amp_c,M_arg__L_c,M_asn__L_c,M_asp__L_c,M_atp_c,M_chsterol_c,M_clpn_hs_c,M_cmp_c,M_cys__L_c,M_dag_hs_c,M_damp_c,M_dcmp_c,M_dgmp_c,M_dtmp_c,M_gln__L_c,M_glu__L_c,M_gly_c,M_glygn1_c,M_gmp_c,M_h2o_c,M_his__L_c,M_ile__L_c,M_leu__L_c,M_lpchol_hs_c,M_lys__L_c,M_mag_hs_c,M_met__L_c,M_pa_hs_c,M_pail_hs_c,M_pchol_hs_c,M_pe_hs_c,M_phe__L_c,M_pro__L_c,M_ps_hs_c,M_ser__L_c,M_sphmyln_hs_c,M_tag_hs_c,M_thr__L_c,M_trp__L_c,M_tyr__L_c,M_ump_c,M_val__L_c,M_xolest_hs_c,tot_biom,total_path,kcat,GeneExp,subsys,path_label,TCGA_val,CNV_val,TCGA_annot,CNV,SURV
AACS_CCRF-CEM,-0.01419125,0.0,1.91049127273,0.0,0.0,0.009161,0.349738733333,0.0,0.0,0.0035751,0.624924055556,0.0,0.026905,0.0247507586207,0.0,0.915595586207,0.0,1.8944847,0.0,0.453072266667,0.296747214286,0.0,0.0,0.0,0.0099666,0.00867225,4.76567164179e-05,0.0108481428571,0.010751,0.0,-0.9117466,0.0,0.0,0.81509175,-0.0019208,0.0015965,0.0,0.0,0.00154914285714,-4.65789473684e-05,1.95989807407,0.0,8.91772151899e-05,0.0,0.01063,0.0,0.00688209090909,0.00942076190476,0.047835,0.499370697674,0.0,1.68592208,0.0979378965517,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,7.28,BW,NO,0.0244769100301,24.3333333333,NEUTRAL,GAIN,NEUTRAL
AACS_HL-60,0.018259,0.0,1.27411636364,0.0,0.0,0.0101784761905,0.7187708,0.0,0.0,0.0049807,0.577361611111,0.0,0.0295504,0.0952053103448,0.0,0.966495448276,0.0,-2.1374159,0.0,0.545883366667,0.529489892857,0.0,0.0,0.0,0.0094719,0.009525,4.5e-05,0.0107442380952,0.012545,0.0,1.065253,0.0,0.0,0.938478,-0.00212053333333,-2.0984925,0.0,0.0,0.00170142857143,7.67368421053e-05,0.991395111111,0.0,9.79113924051e-05,0.0,0.0105826666667,0.0,0.00755872727273,0.00941066666667,0.047622,-0.0514326976744,0.0,0.84591444,0.011953137931,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,6.511,BW,NO,0.0244769100301,24.3333333333,NEUTRAL,GAIN,NEUTRAL
AACS_K-562,0.0242708333333,0.0,1.27410933333,0.0,0.0,0.0108118571429,0.4142246,0.0,0.0,0.0173776,0.347448138889,0.0,0.0311968,0.159816896552,0.0,1.03845537931,0.0,-2.1278168,0.0,0.7197503,0.661165678571,0.0,0.0,0.0,0.0091638,0.010056,4.33432835821e-05,0.0106794761905,0.013662,0.0,1.03801015,0.0,0.0,1.5107225,-0.0022448,0.001452,0.0,0.0,0.00179628571429,8.1e-05,-0.723561592593,0.0,0.00010335443038,0.0,0.0,0.0,0.00797990909091,0.00940438095238,0.0,-0.0534485348837,0.0,0.84590968,-0.0121312413793,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,7.412,BW,NO,0.0244769100301,24.3333333333,NEUTRAL,GAIN,NEUTRAL
AACS_MOLT-4,0.0246926666667,0.0,1.27417066667,0.0,0.0,0.00911107142857,0.344138733333,0.0,0.0,0.006582,0.665378083333,0.0,0.02677604,0.0,0.0,0.939133413793,0.0,-2.1450888,0.0,0.483748933333,0.368642714286,0.0,0.0,0.0,0.0099909,0.008631,4.7776119403e-05,0.0108531904762,0.0106635,0.0,1.0660561,0.0,0.0,0.69559325,-0.00191106666667,-0.0073398,0.0,0.0,0.00154171428571,6.95263157895e-05,-0.433144111111,0.0,8.87341772152e-05,0.0,0.0106322222222,0.0,0.00684918181818,0.00942133333333,0.047845,0.011001627907,0.0,0.84795704,0.014230137931,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,7.616,BW,NO,0.0244769100301,24.3333333333,NEUTRAL,GAIN,NEUTRAL
AACS_RPMI-8226,0.0200333333333,0.0,1.91048284848,0.0,0.0,0.00992,0.518261266667,0.0,0.0,0.0049811,0.219171833333,0.0,0.0288782,0.134684275862,0.0,0.962688344828,0.0,-1.9130526,0.251645555556,0.536208666667,0.671342857143,0.0,0.0,0.0,0.0095976,0.00930825,4.5671641791e-05,0.0107706190476,0.012089,0.0,1.0666886,0.0,0.0,1.9731185,-0.00206986666667,0.00153,0.0,0.0,0.00166271428571,-5e-05,-0.831750222222,0.0,9.56962025316e-05,0.0,0.0105946666667,0.0,0.00738690909091,0.00941314285714,0.047676,-0.00126997674419,0.0,1.68591632,0.106504034483,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,8.81,BW,NO,0.0244769100301,24.3333333333,NEUTRAL,GAIN,NEUTRAL
AACS_SR,0.0229605,0.0,1.91048833333,0.0,0.0,0.00942611904762,0.289574733333,0.0,0.0,0.00498195,0.431274888889,0.0,0.0275944,0.0,0.0,1.08401710345,0.0,-2.1435774,0.0,0.806342333333,0.5384275,0.0,0.0,0.0,0.0098376,0.008895,4.69552238806e-05,0.010821,0.0112185,0.0,1.00048925,0.0,0.0,0.49715225,-0.001973,-2.098427,0.0,0.0,0.00237928571429,-4.77368421053e-05,-0.629545148148,0.0,9.14556962025e-05,0.0,0.0106175555556,0.0,0.00705836363636,0.0094180952381,0.047779,-0.0289490697674,0.0,1.68592004,0.00247303448276,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,8.0,BW,NO,0.0244769100301,24.3333333333,NEUTRAL,GAIN,NEUTRAL
ABCA1_CCRF-CEM,0.0252406666667,0.0,1.27412763636,0.0,0.0,0.009161,0.349738733333,0.0,0.0,0.0049824,0.56046325,0.0,0.02690504,0.0361176551724,0.0,0.903381827586,0.0,1.8031846,0.0,0.398587333333,0.420122,0.0,0.0,0.0,0.0099666,0.00867225,4.76567164179e-05,0.0108481428571,0.010751,0.0,-0.93127165,0.0,0.0,0.83569425,-0.0019208,-1.8818132,0.0,0.0,0.00154914285714,6.98421052632e-05,-0.501379518519,0.0,8.91772151899e-05,0.0,0.01063,0.0,0.00688209090909,0.00942076190476,0.047835,0.0109986046512,0.0,0.84592208,0.0105656551724,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,2.286,BF,NO,-1.36580068194,0.333333333333,NEUTRAL,LOSS,NEUTRAL
ABCA1_HL-60,0.01776525,0.0,1.91048,0.0,0.0,0.0101784761905,0.798114266667,0.0,0.0,0.0049807,0.3972905,0.0,0.0295504,0.0,0.0,0.966495448276,0.0,-2.1374159,0.0,0.545883366667,0.553606142857,0.0,0.0,0.0,0.0094719,0.009525,4.5e-05,0.0107442380952,0.012545,0.0,1.065253,0.0,0.0,1.4005005,-0.00212053333333,-2.0984925,0.0,0.0,0.00254785714286,-5.11578947368e-05,0.777777777778,0.0,9.79113924051e-05,0.0,0.0105826666667,0.0,0.00755872727273,0.00941066666667,0.047622,-0.0273295581395,0.0,1.68591444,0.011953137931,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,2.286,BF,NO,-1.36580068194,0.333333333333,NEUTRAL,LOSS,NEUTRAL
ABCA1_K-562,0.01804675,0.0,1.27410933333,0.0,0.0,0.0108118571429,0.389328066667,0.0,0.0,0.0173776,0.383440083333,0.0,0.0311968,0.159816896552,0.0,1.03845537931,0.0,-2.1278168,0.0,0.722239966667,0.521809464286,0.0,0.0,0.0,0.0091638,0.010056,4.33432835821e-05,0.0106794761905,0.013662,0.0,0.88940715,0.0,0.0,2.19965425,-0.0022448,-2.098548,0.0,0.0,0.00179628571429,-5.4e-05,-0.570745148148,0.0,0.00010335443038,0.0,0.0,0.0,0.00797990909091,0.00940438095238,0.0,-0.0534485348837,0.0,0.84590968,0.110128172414,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,2.286,BF,NO,-1.36580068194,0.333333333333,NEUTRAL,LOSS,NEUTRAL
ABCA1_MOLT-4,0.02971875,0.0,1.27412818182,0.0,0.0,0.00911107142857,0.344138733333,0.0,0.0,0.00959765,0.313622888889,0.0,0.02677604,0.0663059310345,0.0,0.940783241379,0.0,1.8055547,0.0,0.4850206,0.368050642857,0.0,0.0,0.0,0.0099909,0.008631,4.7776119403e-05,0.0108531904762,0.0106635,0.0,-1.0304367,0.0,0.0,1.852017,-0.00191106666667,-2.0983995,0.0,0.0,0.00154171428571,-4.63684210526e-05,-0.648904814815,0.0,8.87341772152e-05,0.0,0.0106322222222,0.0,0.00684918181818,0.00942133333333,0.047845,0.011001627907,0.0,0.84790096,0.0832663448276,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,2.325,BF,NO,-1.36580068194,0.333333333333,NEUTRAL,LOSS,NEUTRAL
