GENE,Alanine and Aspartate Metabolism,Aminosugar Metabolism,Arginine and Proline Metabolism,Bile Acid Biosynthesis,Biotin Metabolism,Cholesterol Metabolism,Citric Acid Cycle,CoA Biosynthesis,CoA Catabolism,Cysteine Metabolism,Fatty Acid Metabolism,Fatty acid activation,Fatty acid elongation,Fatty acid oxidation,Fatty acid oxidation_ peroxisome,Folate Metabolism,Galactose metabolism,Glutamate metabolism,Glutathione Metabolism,Glycine_ Serine_ and Threonine Metabolism,Glycolysis/Gluconeogenesis,Glyoxylate and Dicarboxylate Metabolism,Heme Biosynthesis,Heme Degradation,Histidine Metabolism,IMP Biosynthesis,Inositol Phosphate Metabolism,Lysine Metabolism,Methionine Metabolism,N-Glycan Degradation,NAD Metabolism,Nucleic acid degradation,Nucleotide Sugar Metabolism,Oxidative Phosphorylation,Pentose Phosphate Pathway,Pentose and Glucuronate Interconversions,Phenylalanine metabolism,Purine Catabolism,Pyrimidine Biosynthesis,Pyrimidine Catabolism,Pyruvate Metabolism,Salvage Pathway,Sphingolipid Metabolism,Steroid Metabolism,Tetrahydrobiopterin,Thiamine Metabolism,Triacylglycerol Synthesis,Tryptophan metabolism,Tyr_ Phe_ Trp Biosynthesis,Tyrosine metabolism,Ubiquinone Biosynthesis,Urea cycle/amino group metabolism,Valine_ Leucine_ and Isoleucine Metabolism,M_ala__L_e,M_arg__L_e,M_asn__L_e,M_asp__L_e,M_chol_e,M_cys__L_e,M_fol_e,M_glc__D_e,M_gln__L_e,M_glu__L_e,M_gly_e,M_gthox_e,M_gthrd_e,M_h2o_e,M_h_e,M_his__L_e,M_ile__L_e,M_inost_e,M_leu__L_e,M_lys__L_e,M_met__L_e,M_nh4_e,M_o2_e,M_phe__L_e,M_pi_e,M_ser__L_e,M_succ_e,M_thf_e,M_thr__L_e,M_trp__L_e,M_tyr__L_e,M_urea_e,M_val__L_e,M_ala__L_c,M_amp_c,M_arg__L_c,M_asn__L_c,M_asp__L_c,M_atp_c,M_chsterol_c,M_clpn_hs_c,M_cmp_c,M_cys__L_c,M_dag_hs_c,M_damp_c,M_dcmp_c,M_dgmp_c,M_dtmp_c,M_gln__L_c,M_glu__L_c,M_gly_c,M_glygn1_c,M_gmp_c,M_h2o_c,M_his__L_c,M_ile__L_c,M_leu__L_c,M_lpchol_hs_c,M_lys__L_c,M_mag_hs_c,M_met__L_c,M_pa_hs_c,M_pail_hs_c,M_pchol_hs_c,M_pe_hs_c,M_phe__L_c,M_pro__L_c,M_ps_hs_c,M_ser__L_c,M_sphmyln_hs_c,M_tag_hs_c,M_thr__L_c,M_trp__L_c,M_tyr__L_c,M_ump_c,M_val__L_c,M_xolest_hs_c,tot_biom,total_path,kcat,GeneExp,subsys,path_label,TCGA_val,CNV_val,TCGA_annot,CNV,SURV
AACS_DU-145,0.0266730833333,0.0,1.27413227273,0.0,0.0,0.00874169047619,0.153122866667,0.0,0.0,0.0064849,0.657785611111,0.0,0.0258158,0.0,0.0,0.993233103448,0.0,-2.1481788,0.0,0.606472633333,0.326375178571,0.0,0.0,0.0,0.0101703,0.00832125,4.87462686567e-05,0.0108909047619,0.010012,0.0,1.0356083,0.0,0.0,0.56363125,-0.00183853333333,0.001633,0.0,0.0,0.00252914285714,6.7e-05,1.09711733333,0.0,8.55696202532e-05,0.0,0.0106495555556,0.0,0.00660345454545,0.00942495238095,0.047923,0.457390465116,0.0,0.84592524,0.0150184137931,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,8.552,BW,NO,0.338131871095,2.8,NEUTRAL,GAIN,NEUTRAL
AACS_PC-3,0.02539525,0.0,1.27412787879,0.0,0.0,0.00913830952381,0.5773332,0.0,0.0,0.00498245,0.562560555556,0.0,0.0268466,0.117187034483,0.0,0.906849965517,0.0,1.8419958,0.0,0.410103366667,1.10614428571,0.0,0.0,0.0,0.0099777,0.0086535,4.77164179104e-05,0.0108504761905,0.010711,0.0,-1.0497188,0.0,0.0,1.4339675,-0.00191626666667,-2.0984015,0.0,0.0,0.00154571428571,6.96842105263e-05,0.596384666667,0.0,8.89873417722e-05,0.0,0.0106311111111,0.0,0.00686718181818,0.00942095238095,0.04784,-0.00375962790698,0.0,0.84592224,0.0141723103448,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,7.739,BW,NO,0.338131871095,2.8,NEUTRAL,GAIN,NEUTRAL
AASS_DU-145,0.0286925,0.0,1.91028584848,0.0,0.0,0.00871657142857,0.154913,0.0,0.0,0.0094598,0.564558388889,0.0,0.027543,0.0,0.000589736842105,0.993228137931,0.0,-2.1498711,0.0,0.606422266667,0.203274428571,0.0,0.0,0.0,0.0101826,0.00830025,4.88059701493e-05,0.0172962857143,0.0099675,0.0,1.0353168,0.0,0.0,0.97029175,-0.00183353333333,-2.098365,0.0,0.0,0.00148257142857,6.68421052632e-05,4.9939467037,0.0,8.53164556962e-05,0.0,0.0106506666667,0.0,0.00658672727273,0.00942514285714,0.047928,0.0110255813953,0.0,1.68564776,0.0150722758621,10,6,6,6,5,5,10,100,15,7,100,9,17,16,100,5,4,7,100,13,10,6,5,5,100,3,100,100,100,100,100,100,6,11,100,8,100,100,100,6,6,12,5,100,11,7,7,6,10,8,100,10,6,5,8,100,100,11,10,7,6,12,6,4,100,100,11,7,100,9,8,100,100,7,7,100,6,1824,1089,4.16992500144,3.584,CA,CA,0.207869271482,5.33333333333,NEUTRAL,GAIN,NEUTRAL
AASS_PC-3,0.02185,0.0,1.910273,0.0,0.0,0.00911321428571,0.579115133333,0.0,0.0,0.0049825,0.6259395,0.0,0.02856568,0.0253349655172,0.000587,0.906844965517,0.0,1.8462126,0.0,0.410062033333,0.488085392857,0.0,0.0,0.0,0.0099897,0.0086325,4.7776119403e-05,0.0172262857143,0.0106665,0.0,-1.0304382,0.0,0.0,1.24612175,-0.00191146666667,-2.0983995,0.0,0.0,0.001542,-4.63684210526e-05,3.38280114815,0.0,8.87341772152e-05,0.0,0.0106322222222,0.0,0.00685045454545,0.00942114285714,0.047845,0.956281186047,0.0,1.68563364,0.0142259310345,10,6,6,6,5,5,10,100,15,7,100,9,17,16,100,5,4,7,100,13,10,6,5,5,100,3,100,100,100,100,100,100,6,11,100,8,100,100,100,6,6,12,5,100,11,7,7,6,10,8,100,10,6,5,8,100,100,11,10,7,6,12,6,4,100,100,11,7,100,9,8,100,100,7,7,100,6,1824,1089,4.16992500144,4.342,CA,CA,0.207869271482,5.33333333333,NEUTRAL,GAIN,NEUTRAL
ABAT_DU-145,0.0272813333333,0.0,1.9102850303,0.0,0.0,0.00874169047619,0.153122866667,0.0,0.0,0.0064849,0.683874166667,0.0,0.0258158,0.0,0.0,0.993233103448,0.0,-2.1481788,0.0,0.6051868,0.195619821429,0.0,0.0,0.0,0.0101703,0.00832125,4.87462686567e-05,0.0108909047619,0.010012,0.0,1.0356083,0.0,0.0,0.56363125,-0.00183853333333,-0.0070047,0.0,0.0,0.00148642857143,-4.46842105263e-05,3.52957814815,0.0,8.55696202532e-05,0.0,0.0106495555556,0.0,0.00660345454545,0.00942495238095,0.047923,0.0110240697674,0.0,1.68762612,0.0150184137931,9,5,5,5,4,4,9,100,14,6,100,8,16,15,100,4,3,6,100,12,9,5,4,4,100,5,100,100,100,100,100,100,5,10,100,7,100,100,100,5,5,11,4,100,10,6,6,5,9,7,100,9,5,4,7,100,100,10,9,6,5,11,5,6,100,100,10,6,100,8,7,100,100,6,6,100,5,1799,1068,0.0,3.425,AW,CA,0.290073048364,1.9375,NEUTRAL,NEUT,DOWNREG
ABAT_PC-3,0.00224541666667,0.0,1.91027221212,0.0,0.0,0.00913830952381,0.5773332,0.0,0.0,0.00498245,0.326618388889,0.0,0.0271964,0.117187034483,0.0,0.906849965517,0.0,-2.1459332,0.0,0.410103366667,0.809877214286,0.0,0.0,0.0,0.0099777,0.0086535,4.77164179104e-05,0.0108504761905,0.010711,0.0,1.08197515,0.0,0.0,0.865946,-0.00191626666667,-0.0073641,0.0,0.0,0.00154571428571,6.96842105263e-05,3.01459651852,0.0,8.89873417722e-05,0.0,0.0106311111111,0.0,0.00686718181818,0.00942095238095,0.04784,-0.003737,0.0,1.68563276,0.0141723448276,9,5,5,5,4,4,9,100,14,6,100,8,16,15,100,4,3,6,100,12,9,5,4,4,100,5,100,100,100,100,100,100,5,10,100,7,100,100,100,5,5,11,4,100,10,6,6,5,9,7,100,9,5,4,7,100,100,10,9,6,5,11,5,6,100,100,10,6,100,8,7,100,100,6,6,100,5,1799,1068,0.0,3.237,AW,CA,0.290073048364,1.9375,NEUTRAL,NEUT,DOWNREG
ABCA1_DU-145,-0.048378,0.0,1.27413227273,0.0,0.0,0.00874169047619,0.153122866667,0.0,0.0,0.0064849,0.618804277778,0.0,0.0258158,0.0,0.0,1.00108455172,0.0,-2.1254096,0.0,0.635545733333,0.163092392857,0.0,0.0,0.0,0.0101703,0.00832125,4.87462686567e-05,0.0108909047619,0.010012,0.0,0.937846,0.0,0.0,1.45910325,-0.00183853333333,-1.9177425,0.0,0.0,0.00148642857143,6.7e-05,-0.384406555556,0.0,8.55696202532e-05,0.0,0.0106495555556,0.0,0.00660345454545,0.00942495238095,0.047923,0.0110240697674,0.0,0.84790448,0.0150184137931,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,2.286,BF,NO,0.120179975275,14.0,NEUTRAL,GAIN,NEUTRAL
ABCA1_PC-3,0.0295326666667,0.0,1.27412787879,0.0,0.0,0.00913830952381,0.5773332,0.0,0.0,0.0074649,0.335721361111,0.0,0.02684656,0.117187034483,0.0,0.906849965517,0.0,-2.150898,0.0,0.410103366667,0.372762214286,0.0,0.0,0.0,0.0099777,0.0086535,4.77164179104e-05,0.0108504761905,0.010711,0.0,1.06271395,0.0,0.0,1.278072,-0.00191626666667,-2.0984015,0.0,0.0,0.00154571428571,-4.64736842105e-05,0.424149185185,0.0,8.89873417722e-05,0.0,0.0106311111111,0.0,0.00686718181818,0.00942095238095,0.04784,-0.005278,0.0,0.84790064,0.0141723448276,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0.0,2.286,BF,NO,0.120179975275,14.0,NEUTRAL,GAIN,NEUTRAL
ABCB11_DU-145,0.0322541666667,0.0,1.27413227273,0.0,0.0,0.00874169047619,0.153122866667,0.0,0.0,0.0094686,0.35289625,0.0,0.0258158,0.0,0.0,0.993233103448,0.0,-2.1541462,0.0,0.606472633333,0.177982571429,0.0,0.0,0.0,0.0101703,0.00832125,4.87462686567e-05,0.0108909047619,0.010012,0.0,0.9330835,0.0,0.0,1.45910325,-0.00183853333333,-2.098367,0.0,0.0,0.00148642857143,-4.46842105263e-05,0.526156888889,0.0,8.55696202532e-05,0.0,0.0106495555556,0.0,0.00660345454545,0.00942495238095,0.047923,0.0110240697674,0.0,0.84592524,0.0150184137931,17,11,14,17,14,10,15,100,20,18,100,14,22,18,100,15,15,8,100,15,12,16,16,16,100,16,100,100,100,100,100,100,19,17,100,7,100,100,100,16,19,17,16,100,18,15,18,15,9,19,100,17,16,16,9,100,100,13,15,17,17,17,17,17,100,100,16,20,100,8,19,100,100,17,20,100,17,2030,1282,0.0,2.286,AB,SC,0.242526847642,2.0,NEUTRAL,NEUT,NEUTRAL
ABCB11_PC-3,0.02539525,0.0,1.91049151515,0.0,0.0,0.00913830952381,0.5773332,0.0,0.0,0.00498245,0.322046,0.0,0.0268466,0.117187034483,0.0,0.906849965517,0.0,1.8451563,0.00351166666667,0.410103366667,0.719525214286,0.0,0.0,0.0,0.0099777,0.0086535,4.77164179104e-05,0.0108504761905,0.010711,0.0,-1.02887735,0.0,0.0,1.431643,-0.00191626666667,-0.0073641,0.0,0.0,0.00154571428571,-4.64736842105e-05,-0.777777777778,0.0,8.89873417722e-05,0.0,0.0106311111111,0.0,0.00686718181818,0.00942095238095,0.04784,-0.00376179069767,0.0,1.68592224,0.0141723103448,17,11,14,17,14,10,15,100,20,18,100,14,22,18,100,15,15,8,100,15,12,16,16,16,100,16,100,100,100,100,100,100,19,17,100,7,100,100,100,16,19,17,16,100,18,15,18,15,9,19,100,17,16,16,9,100,100,13,15,17,17,17,17,17,100,100,16,20,100,8,19,100,100,17,20,100,17,2030,1282,0.0,2.289,AB,SC,0.242526847642,2.0,NEUTRAL,NEUT,NEUTRAL
