GENE,Alanine and Aspartate Metabolism,Aminosugar Metabolism,Arginine and Proline Metabolism,Bile Acid Biosynthesis,Biotin Metabolism,Cholesterol Metabolism,Citric Acid Cycle,CoA Biosynthesis,CoA Catabolism,Cysteine Metabolism,Fatty Acid Metabolism,Fatty acid activation,Fatty acid elongation,Fatty acid oxidation,Fatty acid oxidation_ peroxisome,Folate Metabolism,Galactose metabolism,Glutamate metabolism,Glutathione Metabolism,Glycine_ Serine_ and Threonine Metabolism,Glycolysis/Gluconeogenesis,Glyoxylate and Dicarboxylate Metabolism,Heme Biosynthesis,Heme Degradation,Histidine Metabolism,IMP Biosynthesis,Inositol Phosphate Metabolism,Lysine Metabolism,Methionine Metabolism,N-Glycan Degradation,NAD Metabolism,Nucleic acid degradation,Nucleotide Sugar Metabolism,Oxidative Phosphorylation,Pentose Phosphate Pathway,Pentose and Glucuronate Interconversions,Phenylalanine metabolism,Purine Catabolism,Pyrimidine Biosynthesis,Pyrimidine Catabolism,Pyruvate Metabolism,Salvage Pathway,Sphingolipid Metabolism,Steroid Metabolism,Tetrahydrobiopterin,Thiamine Metabolism,Triacylglycerol Synthesis,Tryptophan metabolism,Tyr_ Phe_ Trp Biosynthesis,Tyrosine metabolism,Ubiquinone Biosynthesis,Urea cycle/amino group metabolism,Valine_ Leucine_ and Isoleucine Metabolism,M_ala__L_e,M_arg__L_e,M_asn__L_e,M_asp__L_e,M_chol_e,M_cys__L_e,M_fol_e,M_glc__D_e,M_gln__L_e,M_glu__L_e,M_gly_e,M_gthox_e,M_gthrd_e,M_h2o_e,M_h_e,M_his__L_e,M_ile__L_e,M_inost_e,M_leu__L_e,M_lys__L_e,M_met__L_e,M_nh4_e,M_o2_e,M_phe__L_e,M_pi_e,M_ser__L_e,M_succ_e,M_thf_e,M_thr__L_e,M_trp__L_e,M_tyr__L_e,M_urea_e,M_val__L_e,M_ala__L_c,M_amp_c,M_arg__L_c,M_asn__L_c,M_asp__L_c,M_atp_c,M_chsterol_c,M_clpn_hs_c,M_cmp_c,M_cys__L_c,M_dag_hs_c,M_damp_c,M_dcmp_c,M_dgmp_c,M_dtmp_c,M_gln__L_c,M_glu__L_c,M_gly_c,M_glygn1_c,M_gmp_c,M_h2o_c,M_his__L_c,M_ile__L_c,M_leu__L_c,M_lpchol_hs_c,M_lys__L_c,M_mag_hs_c,M_met__L_c,M_pa_hs_c,M_pail_hs_c,M_pchol_hs_c,M_pe_hs_c,M_phe__L_c,M_pro__L_c,M_ps_hs_c,M_ser__L_c,M_sphmyln_hs_c,M_tag_hs_c,M_thr__L_c,M_trp__L_c,M_tyr__L_c,M_ump_c,M_val__L_c,M_xolest_hs_c,tot_biom,total_path,kcat,GeneExp,subsys,path_label,TCGA_val,CNV_val,TCGA_annot,CNV,SURV
A4GNT_BT-549,0.027765833,0,1.274141606,0,0,0.007900667,0.174623267,0,0,0.0033529,0.386318389,0,0.0236298,0,0,0.897302897,0,-2.1493908,0,0.388792367,0.393211429,0,0,0,0.0105795,0.007617,5.09E-05,0.010976762,0.008529,0,1.02356635,0,0,1.08561725,-0.001673333,0.0017065,0,0,0.002315,6.14E-05,-0.608979185,0,7.83E-05,0,0.010688444,0,0.006044273,0.009433333,0.048098,0.011075233,0,0.84593156,0.008594345,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,2.286,BJ,NO,-1.869042065,1.402173913,NEUTRAL,NEUT,NEUTRAL
A4GNT_HS-578-T,0.02587025,0,1.274175545,0,0,0.00840481,0.087882267,0,0,0.0025,0.370284444,0,0.0249402,0,0,1.079540414,0,1.6732544,0,0.798737533,0.663334214,0,0,0,0.0103341,0.00803925,4.96E-05,0.010925238,0.009418,0,-0.9201396,0,0,0.08275725,-0.0017724,-2.0983375,0,0,0.002150429,-4.32E-05,-0.71443,0,8.27E-05,0,0.010665111,0,0.006379545,0.00942819,0.047993,0.469356581,0,0.84795988,-0.006044138,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,2.286,BJ,NO,-1.869042065,1.402173913,NEUTRAL,NEUT,NEUTRAL
A4GNT_MCF7,0.013892833,0,1.910479606,0,0,0.010212476,0.653826933,0,0,0.0025,0.459298139,0,0.0296382,0,0,1.017864828,0,1.7506298,0,0.661012567,0.494963036,0,0,0,0.0094554,0.0095535,4.49E-05,0.010740762,0.012605,0,-0.90041945,0,0,1.493962,-0.002127267,-0.0083381,0,0,0.001706429,-5.13E-05,-0.777777778,0,9.82E-05,0,0.010581111,0,0.007581273,0.009410286,0.047615,-0.047771488,0,1.68591416,0.011880931,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,2.287,BJ,NO,-1.869042065,1.402173913,NEUTRAL,NEUT,NEUTRAL
A4GNT_MDA-MB-231,0.029240167,0,1.274175152,0,0,0.008462143,0.3258198,0,0,0.00641145,0.531533083,0,0.0250892,0,0,0.866801793,0,-2.150517,0,0.3208661,0.667595821,0,0,0,0.0103065,0.00808725,4.95E-05,0.010919429,0.009519,0,1.0024912,0,0,1.07115475,-0.001783667,-1.8087359,0,0,0.001444571,-4.34E-05,-0.777777778,0,8.32E-05,0,0.010662444,0,0.006417636,0.009427619,0.047981,0.011041047,0,0.84597988,-0.010357759,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,2.286,BJ,NO,-1.869042065,1.402173913,NEUTRAL,NEUT,NEUTRAL
A4GNT_T47D,0.01367925,0,1.274162788,0,0,0.010243571,0.6104086,0,0,0.0025,0.226607056,0,0.0297192,0.16357869,0,0.990148448,0,-1.8695567,0.281071222,0.598534167,0.694152321,0,0,0,0.0094401,0.00957975,4.48E-05,0.010737619,0.0126595,0,1.1812252,0,0,1.25028525,-0.002133333,0.001502,0,0,0.001711143,-5.14E-05,-0.777777778,0,9.85E-05,0,0,0,0.007601909,0.009409905,0,-0.034256605,0,0.84795224,0.004104931,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,2.287,BJ,NO,-1.869042065,1.402173913,NEUTRAL,NEUT,NEUTRAL
AACS_BT-549,0.038025917,0,1.910505242,0,0,0.007900667,0.174623267,0,0,0.0091749,0.446017528,0,0.0236298,0.042550414,0,0.897302897,0,-2.1610348,0,0.3874743,1.091874393,0,0,0,0.0105795,0.007617,5.09E-05,0.010976762,0.008529,0,1.02356635,0,0,0.776733,-0.001673333,-0.0037756,0,0,0.001360571,6.14E-05,0.616732481,0,7.83E-05,0,0.010688444,0,0.006044273,0.009433333,0.048098,0.461491372,0,1.68791256,0.008594276,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,5.476,BW,NO,-0.170005404,0.360655738,NEUTRAL,LOSS,NEUTRAL
AACS_HS-578-T,0.0304265,0,1.27413597,0,0,0.00840481,0.087882333,0,0,0.0049837,0.660057528,0,0.02494024,0,0,1.079540414,0,-2.151938,0,0.798737533,0.304828786,0,0,0,0.0103341,0.00803925,4.96E-05,0.010925238,0.009418,0,0.9418277,0,0,0.32348325,-0.0017724,-1.9145562,0,0,0.001436,-4.32E-05,-0.307346704,0,8.27E-05,0,0.010665111,0,0.006379545,0.00942819,0.047993,-0.019015512,0,0.84592772,-0.006044138,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,7.06,BW,NO,-0.170005404,0.360655738,NEUTRAL,LOSS,NEUTRAL
AACS_MCF7,0.018027167,0,1.274116,0,0,0.010212476,0.556749933,0,0,0.0049806,0.310673861,0,0.0296382,0.176848759,0,1.01752,0,-2.0796159,0.063914778,0.661012567,0.699711857,0,0,0,0.0094554,0.0095535,4.49E-05,0.010740762,0.012605,0,0.978755,0,0,1.55283475,-0.002127267,-0.0083381,0,0,0.001706429,-5.13E-05,-0.777777778,0,9.82E-05,0,0.010581111,0,0.007581273,0.009410286,0.047615,-0.047771488,0,0.84789032,0.134814448,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,8.088,BW,NO,-0.170005404,0.360655738,NEUTRAL,LOSS,NEUTRAL
AACS_MDA-MB-231,0.0250735,0,1.274175182,0,0,0.008462143,0.3258198,0,0,0.00141145,0.298163361,0,0.0250892,0.039529724,0,0.866801793,0,-2.145517,0,0.3208661,0.891353821,0,0,0,0.0103065,0.00808725,4.95E-05,0.010919429,0.009519,0,1.0024912,0,0,0.9693445,-0.001783667,-2.0983425,0,0,0.001444571,6.52E-05,-0.879063148,0,8.32E-05,0,0.010662444,0,0.006417636,0.009427619,0.047981,0.005173,0,0.84795968,-0.010357724,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,8.086,BW,NO,-0.170005404,0.360655738,NEUTRAL,LOSS,NEUTRAL
AACS_T47D,0.01367925,0,1.274115636,0,0,0.010243571,0.6391798,0,0,0.0025,0.364647833,0,0.0297192,0,0,0.990148448,0,-2.1225208,0,0.598534167,0.369206071,0,0,0,0.0094401,0.00957975,4.48E-05,0.010737619,0.0126595,0,0.9743131,0,0,1.6524355,-0.002133333,-1.8231779,0,0,0.001711143,7.72E-05,-0.777777778,0,9.85E-05,0,0,0,0.007601909,0.009409905,0,-0.034256605,0,0.84789,0.004104931,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4400,3300,0,8.953,BW,NO,-0.170005404,0.360655738,NEUTRAL,LOSS,NEUTRAL
